2025-04-29,159.0,197054,,,,,,,,,,
2025-04-30,158.5,171020,,,,,,,,,,
2025-05-02,160.5,79050,,,,,,,,,,
2025-05-05,157.5,342030,,,,,,,,,,
2025-05-06,161.0,189101,,,,,,,,,,
2025-05-07,158.0,131120,,,,,,,,,,
2025-05-08,165.5,386232,,,,,,,,,,
2025-05-09,173.5,1151090,,,,,,,,,,
2025-05-12,175.0,419200,,,,,,,,,,
2025-05-13,175.0,473085,,,,,,,,,,
2025-05-14,178.5,402000,,,,,,,,,,
2025-05-15,176.5,192030,,,,,,,,,,
2025-05-16,175.5,214096,,,,,,,,,,
2025-05-19,180.5,632147,,,,,,,,,,
2025-05-20,177.5,493000,,,,,,,,,,
2025-05-21,184.0,537100,,,,,,,,,,
2025-05-22,184.5,232020,,,,,,,,,,
2025-05-23,183.5,212309,,,,,,,,,,
2025-05-26,180.0,224008,,,,,,,,,,
2025-05-27,179.0,78077,,,,,,,,,,
2025-05-28,180.0,143000,,,,,,,,,,
2025-05-29,182.0,113014,,,,,,,,,,
2025-06-02,179.0,132300,,,,,,,,,,
2025-06-03,182.0,142074,,,,,,,,,,
2025-06-04,188.0,468478,,,,,,,,,,
2025-06-05,187.5,429207,,,,,,,,,,
2025-06-06,188.5,197022,,,,,,,,,,
2025-06-09,174.0,953399,,,,,,,,,,
2025-06-10,176.5,275014,,,,,,,,,,
2025-06-11,176.0,185100,,,,,,,,,,
2025-06-12,177.5,118012,,,,,,,,,,
2025-06-13,170.5,356057,,,,,,,,,,
2025-06-16,173.0,103000,,,,,,,,,,
2025-06-17,178.5,232001,,,,,,,,,,
2025-06-18,179.5,142010,,,,,,,,,,
2025-06-19,177.0,91060,,,,,,,,,,
2025-06-20,173.0,141000,,,,,,,,,,
2025-06-23,173.0,95000,,,,,,,,,,
2025-06-24,175.5,183050,,,,,,,,,,
2025-06-25,174.5,117001,,,,,,,,,,
2025-06-26,176.5,98029,,,,,,,,,,
2025-06-27,174.5,90106,,,,,,,,,,
2025-06-30,177.5,195050,,,,,,,,,,
2025-07-01,176.5,187035,,,,,,,,,,
2025-07-02,177.0,74000,,,,,,,,,,
2025-07-03,174.5,131001,,,,,,,,,,
2025-07-04,171.0,178075,,,,,,,,,,
2025-07-07,168.0,252100,,,,,,,,,,
2025-07-08,164.0,260036,,,,,,,,,,
2025-07-09,160.5,260000,,,,,,,,,,
2025-07-10,162.5,105000,,,,,,,,,,
2025-07-11,164.0,104070,,,,,,,,,,
2025-07-14,160.5,137001,,,,,,,,,,
2025-07-15,161.0,63000,,,,,,,,,,
2025-07-16,165.0,159200,,,,,,,,,,
2025-07-17,169.5,141156,,,,,,,,,,
2025-07-18,169.5,194160,,,,,,,,,,
2025-07-21,169.0,166500,,,,,,,,,,
2025-07-22,166.5,188081,,,,,,,,,,
2025-07-23,169.0,82015,,,,,,,,,,
2025-07-24,170.5,187011,,,,,,,,,,
2025-07-25,171.5,105042,,,,,,,,,,
2025-07-28,170.0,67049,,,,,,,,,,
2025-07-29,169.0,94300,,,,,,,,,,
2025-07-30,167.5,83000,,,,,,,,,,
2025-07-31,168.5,72005,,,,,,,,,,
2025-08-04,172.0,243113,,,,,,,,,,
2025-08-05,189.0,861401,,,,,,,,,,
2025-08-06,191.0,1567071,,,,,,,,,,
2025-08-07,198.0,955649,,,,,,,,,,
2025-08-08,197.5,415155,,,,,,,,,,
2025-08-11,200.5,556367,,,,,,,,,,
2025-08-12,203.0,535101,,,,,,,,,,
2025-08-13,205.0,507443,,,,,,,,,,
2025-08-14,207.5,459310,,,,,,,,,,
2025-08-15,209.5,803340,,,,,,,,,,
2025-08-18,205.0,362215,,,,,,,,,,
2025-08-19,205.5,354380,,,,,,,,,,
2025-08-20,204.0,385006,,,,,,,,,,
2025-08-21,208.0,422005,,,,,,,,,,
2025-08-22,205.0,148220,,,,,,,,,,
2025-08-25,207.5,246023,,,,,,,,,,
2025-08-26,208.5,259105,,,,,,,,,,
2025-08-27,209.5,464000,,,,,,,,,,
2025-08-28,207.5,261204,,,,,,,,,,
2025-08-29,204.5,241462,,,,,,,,,,
2025-09-01,198.0,285550,,,,,,,,,,
2025-09-02,201.0,279090,,,,,,,,,,
2025-09-03,207.5,378271,,,,,,,,,,
2025-09-04,205.5,357082,,,,,,,,,,
2025-09-05,207.0,215052,,,,,,,,,,
